user_id;username;name;follower;following;tweet_cound;list_count;verified;created_at
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
2730855593;stockschamp;stockschamp;482;8;68822;16;False;2014-08-01 16:39:24+00:00
732361939490312192;CFinancialNews;Community Financial;468;163;1446106;43;False;2016-05-17 00:07:47+00:00
2447921562;Finmarketnews;Davis Bowen;771;0;142759;42;False;2014-04-16 20:02:19+00:00
76547516;russurban;Russ Urban: Equity Crowdfunding Marketing;604;29;38658;32;False;2009-09-23 03:32:52+00:00
4848041224;amyhalutao;amyhalutao;80;40;9264;1;False;2016-01-26 03:09:26+00:00
764821491829575680;KatieGotCash;Katie;98;100;1611;12;False;2016-08-14 13:50:28+00:00
704753138146877440;csFraudAnalysis;csfa.;1107;591;16101;30;False;2016-03-01 19:40:16+00:00
238775819;mvacoli;Mark Oliver;165;349;2996;10;False;2011-01-16 01:05:57+00:00
1850041968;PolgarStocks;PolgarStocks;1410;391;248996;161;False;2013-09-10 02:17:36+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
23059499;SeekingAlpha;Seeking Alpha;204990;75;883291;4933;False;2009-03-06 12:52:56+00:00
15296897;MarketCurrents;Breaking News;81836;1;943066;2509;False;2008-07-02 10:38:58+00:00
764863705859305477;KendraLuvsBio;Kendra;59;116;1396;16;False;2016-08-14 16:38:12+00:00
2196900553;nasdaqfan;nasdaqfan;868;392;168421;160;False;2013-11-16 01:26:30+00:00
1001192245;TalkMarkets;TalkMarkets;5180;1138;308629;597;False;2012-12-10 07:55:31+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
122443799;greenstocknews;Green Stock News;50965;457;98999;199;False;2010-03-12 18:41:58+00:00
845021745203630080;InfoDividend;Early Retirement;285;366;13995;17;False;2017-03-23 21:17:38+00:00
23059499;SeekingAlpha;Seeking Alpha;204990;75;883291;4933;False;2009-03-06 12:52:56+00:00
801855292510261253;sitivandermeij;Siti van der Meij;370;38;146971;22;False;2016-11-24 18:29:34+00:00
3044159284;wlstcom;WLST.com;2019;71;402626;1249;False;2015-02-18 01:26:31+00:00
15296897;MarketCurrents;Breaking News;81836;1;943066;2509;False;2008-07-02 10:38:58+00:00
4848041224;amyhalutao;amyhalutao;80;40;9264;1;False;2016-01-26 03:09:26+00:00
4847925341;thermstocksez;thermstocks;71;39;10418;3;False;2016-01-26 02:50:11+00:00
1850041968;PolgarStocks;PolgarStocks;1410;391;248996;161;False;2013-09-10 02:17:36+00:00
201537863;ZacksSmallCap;Zacks SCR;4520;118;7760;109;False;2010-10-12 02:13:54+00:00
786692001626546176;ProtectYPrivacy;Protect Your Privacy;97;1;50813;15;False;2016-10-13 22:16:04+00:00
738330351303528448;ForexTradeClub;Forex Trading Club;316;18;33461;138;False;2016-06-02 11:24:08+00:00
4506562407;EconCalend;Economic Calendar;1572;19;13998;154;False;2015-12-16 20:46:49+00:00
764824548583809025;BiotechBeauty;Megan;74;57;1316;21;False;2016-08-14 14:02:36+00:00
3044159284;wlstcom;WLST.com;2019;71;402626;1249;False;2015-02-18 01:26:31+00:00
2793389415;deepxdive;Deep Dive;223;38;90053;35;False;2014-09-30 02:50:03+00:00
2416188264;storminvestor;Storm Investor;674;9;998825;19;False;2014-03-28 17:00:55+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
4584354895;MITickWatcher;TickWatcher;5325;4820;77356;74;False;2015-12-17 12:19:55+00:00
2196900553;nasdaqfan;nasdaqfan;868;392;168421;160;False;2013-11-16 01:26:30+00:00
4847284887;philintrades101;philintrades;76;40;9465;3;False;2016-01-25 23:42:48+00:00
4847925341;thermstocksez;thermstocks;71;39;10418;3;False;2016-01-26 02:50:11+00:00
2573704915;wininstocks2014;wininstocks2014;308;916;42945;8;False;2014-06-17 22:44:46+00:00
393404934;fundconsult;Ferenc Sanderson;269;106;17768;42;False;2011-10-18 13:54:36+00:00
3892316506;pulseportal;Pulse Portal;16;12;72400;1;False;2015-10-07 18:18:20+00:00
1672120591;JorelLaraKalel;Clark Joseph Kent;4261;889;56714;150;False;2013-08-15 03:20:37+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
2416188264;storminvestor;Storm Investor;674;9;998825;19;False;2014-03-28 17:00:55+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
2204135624;stock_forums;Stock Forums;2336;417;288175;0;False;2013-11-20 02:49:45+00:00
787249747;TimberlakeLaw;Trademarks Are Magic;7337;1834;82145;250;False;2012-08-28 15:27:42+00:00
1850041968;PolgarStocks;PolgarStocks;1410;391;248996;161;False;2013-09-10 02:17:36+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
3892316506;pulseportal;Pulse Portal;16;12;72400;1;False;2015-10-07 18:18:20+00:00
216936416;specstockscom;SpeculatingStocks: Public Companies Raise Funds!;1384;1106;316663;49;False;2010-11-18 03:25:30+00:00
28337061;DavalynManager;Davalyn Corporation;80;1;127217;71;False;2009-04-02 13:29:05+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
801855292510261253;sitivandermeij;Siti van der Meij;370;38;146971;22;False;2016-11-24 18:29:34+00:00
3044159284;wlstcom;WLST.com;2019;71;402626;1249;False;2015-02-18 01:26:31+00:00
15296897;MarketCurrents;Breaking News;81836;1;943066;2509;False;2008-07-02 10:38:58+00:00
208428010;lawdylan77;Dylan Law;26447;807;2122;13;False;2010-10-27 07:58:27+00:00
1901346673;KinchB;Brian Kinch;824;1510;4378;149;False;2013-09-24 18:09:56+00:00
565612962;DPolitical;Daily Political;143;0;87858;112;False;2012-04-28 15:39:01+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
216936416;specstockscom;SpeculatingStocks: Public Companies Raise Funds!;1384;1106;316663;49;False;2010-11-18 03:25:30+00:00
216936416;specstockscom;SpeculatingStocks: Public Companies Raise Funds!;1384;1106;316663;49;False;2010-11-18 03:25:30+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
3892316506;pulseportal;Pulse Portal;16;12;72400;1;False;2015-10-07 18:18:20+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
565612962;DPolitical;Daily Political;143;0;87858;112;False;2012-04-28 15:39:01+00:00
2416188264;storminvestor;Storm Investor;674;9;998830;19;False;2014-03-28 17:00:55+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
801855292510261253;sitivandermeij;Siti van der Meij;370;38;146971;22;False;2016-11-24 18:29:34+00:00
15296897;MarketCurrents;Breaking News;81836;1;943067;2509;False;2008-07-02 10:38:58+00:00
287966215;StockTradePicks;ValueTrades;5032;146;9416;84;False;2011-04-26 00:45:37+00:00
287966215;StockTradePicks;ValueTrades;5032;146;9416;84;False;2011-04-26 00:45:37+00:00
61661638;AmericanBanking;US Banking News;8508;2018;2906221;722;False;2009-07-31 01:58:33+00:00
2181281054;WKRBNews;WKRB News;1269;9;1720338;141;False;2013-11-08 02:17:02+00:00
2266388972;midetimes;MidEast Times;681;45;1104630;87;False;2013-12-28 20:16:47+00:00
2338882843;dailypoliticaln;Daily Political;1396;10;1266439;84;False;2014-02-11 19:38:04+00:00
