Date,Open,High,Low,Close,Adj Close,Volume
2018-01-23,108.800003,109.699997,96.000000,103.750000,103.488472,3772
2018-01-24,102.500000,102.500000,95.800003,95.800003,95.558517,819
2018-01-25,95.540001,100.900002,94.599998,100.900002,100.645660,1342
2018-01-26,100.000000,100.000000,96.919998,97.360001,97.114578,1101
2018-01-29,99.099998,99.199997,98.419998,98.419998,98.171906,299
2018-01-30,97.199997,98.959999,97.199997,98.959999,98.710548,15
2018-01-31,99.300003,101.849998,99.000000,99.620003,99.368881,667
2018-02-01,101.500000,101.500000,97.480003,97.480003,97.234276,411
2018-02-02,97.320000,98.099998,94.800003,94.800003,94.561035,704
2018-02-05,92.139999,94.419998,92.000000,92.000000,91.768097,1079
2018-02-06,84.500000,92.980003,84.500000,91.720001,91.488800,1679
2018-02-07,92.500000,92.760002,91.080002,92.760002,92.526176,900
2018-02-08,92.180000,92.180000,89.260002,89.260002,89.035004,75
2018-02-09,88.680000,90.459999,87.000000,87.000000,86.780693,335
2018-02-12,89.860001,92.080002,89.860001,92.019997,91.788033,2833
2018-02-13,92.260002,92.260002,90.620003,90.620003,90.391571,262
2018-02-14,91.300003,94.599998,91.300003,94.139999,93.902695,649
2018-02-15,95.980003,98.040001,95.980003,97.459999,97.214325,677
2018-02-16,98.500000,98.980003,97.800003,98.800003,98.550957,905
2018-02-19,100.050003,101.199997,98.620003,98.620003,98.371407,156
2018-02-20,96.720001,98.839996,96.720001,98.839996,98.590843,260
2018-02-21,99.320000,99.320000,99.320000,99.320000,99.069641,0
2018-02-22,99.019997,101.000000,99.019997,101.000000,100.745407,275
2018-02-23,100.099998,100.099998,98.620003,98.620003,98.371407,150
2018-02-26,100.000000,100.000000,99.900002,99.900002,99.648178,1350
2018-02-27,100.199997,100.199997,98.660004,98.660004,98.411301,111
2018-02-28,97.639999,99.599998,97.639999,99.599998,99.348930,147
2018-03-01,97.540001,97.540001,94.919998,94.919998,94.680725,2838
2018-03-02,92.599998,92.680000,91.699997,92.000000,91.768097,365
2018-03-05,91.339996,94.099998,91.339996,94.099998,93.862801,650
2018-03-06,94.160004,95.940002,94.080002,94.080002,93.842850,230
2018-03-07,93.580002,96.300003,93.580002,96.300003,96.057259,151
2018-03-08,96.639999,99.699997,96.639999,99.699997,99.448677,175
2018-03-09,99.000000,100.150002,99.000000,100.150002,99.897552,61
2018-03-12,102.199997,102.199997,102.199997,102.199997,101.942375,0
2018-03-13,103.000000,104.400002,103.000000,104.400002,104.136833,82
2018-03-14,101.900002,101.900002,101.900002,101.900002,101.643135,0
2018-03-15,101.599998,102.150002,101.599998,102.150002,101.892502,50
2018-03-16,102.099998,102.099998,100.900002,100.900002,100.645660,50
2018-03-19,99.480003,100.449997,97.000000,97.000000,96.755486,316
2018-03-20,98.599998,101.250000,98.599998,101.250000,100.994774,12
2018-03-21,100.300003,100.300003,99.879997,99.879997,99.628220,5
2018-03-22,98.220001,98.860001,95.860001,96.500000,96.256752,775
2018-03-23,93.320000,95.339996,93.320000,95.339996,95.099670,66
2018-03-26,95.239998,96.540001,94.919998,94.919998,94.680725,560
2018-03-27,96.000000,97.019997,95.220001,97.019997,96.775436,200
2018-03-28,94.099998,94.099998,94.099998,94.099998,93.862801,0
2018-03-29,93.160004,93.160004,93.160004,93.160004,92.925163,0
2018-04-03,94.000000,94.540001,94.000000,94.419998,94.181984,168
2018-04-04,94.400002,94.400002,91.860001,92.320000,92.087280,674
2018-04-05,94.500000,99.599998,94.500000,99.599998,99.348930,780
2018-04-06,97.000000,98.139999,97.000000,98.139999,97.892609,75
2018-04-09,98.220001,100.750000,98.220001,100.750000,100.496033,13
2018-04-10,102.300003,102.650002,101.949997,102.500000,102.241623,930
2018-04-11,101.599998,103.500000,101.599998,103.500000,103.239098,40
2018-04-12,104.000000,105.550003,102.550003,104.900002,104.635567,166
2018-04-13,105.500000,106.900002,105.250000,105.250000,104.984688,24
2018-04-16,104.699997,106.849998,104.699997,106.849998,106.580658,265
2018-04-17,105.000000,108.000000,105.000000,108.000000,107.727753,1380
2018-04-18,107.699997,109.250000,107.699997,108.949997,108.675362,248
2018-04-19,110.000000,111.199997,109.949997,111.199997,110.919685,317
2018-04-20,109.250000,110.050003,109.000000,110.050003,109.772598,210
2018-04-23,109.599998,109.599998,109.599998,109.599998,109.323723,0
2018-04-24,109.099998,110.050003,109.099998,109.849998,109.573090,516
